year,"last_name, first_name",name_abbrev,player_id,pitch_hand,pitch_comp,pitch_a,pitch_name_a,pitch_b,pitch_name_b,n_pitches,n_pitch_a,pitch_a_active_spin_formatted,pitch_a_hawkeye_measured_clock,pitch_a_hawkeye_measured_clock_label,pitch_a_movement_inferred_clock,pitch_a_movement_inferred_clock_label,pitch_a_diff_measured_inferred_minutes,n_pitch_b,pitch_b_active_spin_formatted,pitch_b_hawkeye_measured_clock,pitch_b_hawkeye_measured_clock_label,pitch_b_movement_inferred_clock,pitch_b_movement_inferred_clock_label,pitch_b_diff_measured_inferred_minutes,gap_diff_measured_inferred_minutes,diff_clock_label,diff_measured_hours,diff_inferred_hours
2024,"Leone, Dominic",,608678,R,4-Seamer / Sinker,FF,4-Seamer,SI,Sinker,84,70,86,11.0,11:00,11.25,11:15,-15,14,85,11.0,11:00,10.0,10:00,60,75, 0H 00M,0.0,1.25
2024,"Neris, Héctor",,593576,R,4-Seamer / Sinker,FF,4-Seamer,SI,Sinker,180,139,89,10.75,10:45,11.0,11:00,-15,41,90,11.0,11:00,10.25,10:15,45,60,-0H 15M,-0.25,0.75
2024,"Varland, Louie",,686973,R,4-Seamer / Sinker,FF,4-Seamer,SI,Sinker,144,132,92,11.0,11:00,11.0,11:00,0,12,90,11.0,11:00,10.25,10:15,45,45, 0H 00M,0.0,0.75
2024,"Severino, Luis",,622663,R,4-Seamer / Sinker,FF,4-Seamer,SI,Sinker,484,349,91,11.0,11:00,11.25,11:15,-15,135,91,11.0,11:00,10.25,10:15,45,60, 0H 00M,0.0,1.0
2024,"Wacha, Michael",,608379,R,4-Seamer / Sinker,FF,4-Seamer,SI,Sinker,360,224,99,11.25,11:15,11.25,11:15,0,136,98,11.0,11:00,10.5,10:30,30,30,+0H 15M,0.25,0.75
2024,"Mikolas, Miles",,571945,R,4-Seamer / Sinker,FF,4-Seamer,SI,Sinker,398,201,87,11.0,11:00,11.25,11:15,-15,197,84,11.0,11:00,10.25,10:15,45,60, 0H 00M,0.0,1.0
2024,"Anderson, Nick",,623433,R,4-Seamer / Sinker,FF,4-Seamer,SI,Sinker,136,49,92,11.25,11:15,11.5,11:30,-15,87,93,11.0,11:00,10.75,10:45,15,30,+0H 15M,0.25,0.75
2024,"Lambert, Peter",,663567,R,4-Seamer / Sinker,FF,4-Seamer,SI,Sinker,177,156,98,11.0,11:00,11.25,11:15,-15,21,91,11.0,11:00,10.25,10:15,45,60, 0H 00M,0.0,1.0
2024,"Suarez, Robert",,663158,R,4-Seamer / Sinker,FF,4-Seamer,SI,Sinker,224,200,96,11.0,11:00,11.25,11:15,-15,24,96,11.0,11:00,10.5,10:30,30,45, 0H 00M,0.0,0.75
2024,"McGough, Scott",,543518,R,4-Seamer / Sinker,FF,4-Seamer,SI,Sinker,142,126,97,11.0,11:00,11.25,11:15,-15,16,98,11.0,11:00,10.5,10:30,30,45, 0H 00M,0.0,0.75
2024,"Alzolay, Adbert",,640470,R,4-Seamer / Sinker,FF,4-Seamer,SI,Sinker,143,67,95,10.75,10:45,11.0,11:00,-15,76,94,11.0,11:00,10.25,10:15,45,60,-0H 15M,-0.25,0.75
2024,"Bazardo, Eduard",,660825,R,4-Seamer / Sinker,FF,4-Seamer,SI,Sinker,50,29,86,11.0,11:00,11.5,11:30,-30,21,85,11.0,11:00,10.0,10:00,60,90, 0H 00M,0.0,1.5
2024,"Montas, Frankie",,593423,R,4-Seamer / Sinker,FF,4-Seamer,SI,Sinker,321,220,82,11.0,11:00,11.25,11:15,-15,101,78,11.0,11:00,9.75,9:45,75,90, 0H 00M,0.0,1.5
2024,"Hendricks, Kyle",,543294,R,4-Seamer / Sinker,FF,4-Seamer,SI,Sinker,264,82,89,10.75,10:45,11.0,11:00,-15,182,83,11.0,11:00,9.75,9:45,75,90,-0H 15M,-0.25,1.25
