Season,name,player_id,pitch_hand,api_pitch_type,n_pitches,release_speed,spin_rate,movement_inches,alan_active_spin_pct,active_spin,hawkeye_measured,movement_inferred,pitch_name,active_spin_formatted,hawkeye_measured_clock_minutes,movement_inferred_clock_minutes,diff_measured_inferred,diff2,diff_measured_inferred_minutes,hawkeye_measured_clock_hh,hawkeye_measured_clock_mm,movement_inferred_clock_hh,movement_inferred_clock_mm,diff_clock_hh,diff_clock_mm
2024,"Gore, MacKenzie",669022,L,SL,118,91.6,2046,8.1,0.382248916,0.542608261,168.4389681,196.7604376,Slider,54,750,690,-28.32146953,28.32146953,60,12,30,11,30,1,0
2024,"Stratton, Hunter",676702,R,SL,74,84.4,2672,12.4,0.518143461,0.433839617,84.5727731,112.2717136,Slider,43,195,135,-27.69894048,27.69894048,60,3,15,2,15,1,0
2024,"Singer, Brady",663903,R,SL,413,83.1,2384,5.4,0.239603592,0.302926857,99.84500732,66.5264739,Slider,30,165,225,33.31853342,33.31853342,-60,2,45,3,45,1,0
2024,"Payamps, Joel",606303,R,SL,95,83.6,2579,10.2,0.429886784,0.363928523,58.46388136,84.55171065,Slider,36,240,195,-26.08782929,26.08782929,45,4,0,3,15,0,45
2024,"Rodríguez, Randy",678495,R,SL,58,85.2,2786,11,0.467776143,0.467348882,77.40914676,72.17549561,Slider,47,210,210,5.233651147,5.233651147,0,3,30,3,30,0,0
2024,"Ortiz, Luis L.",682847,R,SL,147,85.4,2461,8.4,0.362957255,0.278110608,86.46461357,96.52636472,Slider,28,180,165,-10.06175115,10.06175115,15,3,0,2,45,0,15
2024,"Rodríguez, Yerry",666720,R,SL,108,83.7,2514,7.7,0.332692615,0.35754284,109.7424374,112.6123687,Slider,36,135,135,-2.869931331,2.869931331,0,2,15,2,15,0,0
2024,"Holmes, Clay",605280,R,SL,85,87.2,2582,6.3,0.27079033,0.284751519,49.15835578,19.06489944,Slider,28,255,315,30.09345634,30.09345634,-60,4,15,5,15,1,0
2024,"Rodón, Carlos",607074,L,SL,226,86.7,2621,8,0.342434852,0.232096116,267.8206066,290.386955,Slider,23,540,495,-22.56634837,22.56634837,45,9,0,8,15,0,45
2024,"Baumann, Mike",657508,R,SL,71,92.1,2382,8.8,0.398142384,0.501808003,183.0583459,161.0005722,Slider,50,720,765,22.0577737,22.0577737,-45,12,0,12,45,0,45
2024,"Hernandez, Jose",669796,L,SL,51,81.5,2105,4.2,0.18841422,0.217501294,330.9032383,358.0950232,Slider,22,420,360,-27.19178494,27.19178494,60,7,0,6,0,1,0
2024,"Marsh, Alec",679525,R,SL,126,86.7,2499,3.7,0.160169018,0.168441266,67.74125729,89.52815935,Slider,17,225,180,-21.78690206,21.78690206,45,3,45,3,0,0,45
2024,"Carrasco, Carlos",471911,R,SL,158,83.7,2443,5.2,0.222543843,0.25613853,108.2170674,84.52425634,Slider,26,150,195,23.69281105,23.69281105,-45,2,30,3,15,0,45
2024,"Houser, Adrian",605288,R,SL,129,82.6,2152,6.6,0.296025977,0.339793741,116.7301846,80.38360776,Slider,34,120,195,36.34657685,36.34657685,-75,2,0,3,15,1,15
2024,"Bird, Jake",656234,R,SL,86,84.8,2698,13,0.581226785,0.569092691,81.77379841,97.40218641,Slider,57,195,165,-15.628388,15.628388,30,3,15,2,45,0,30
2024,"Hudson, Daniel",543339,R,SL,118,87.9,2504,4.4,0.192359334,0.221211903,173.6397735,163.0913713,Slider,22,735,750,10.5484022,10.5484022,-15,12,15,12,30,0,15
2024,"Lorenzen, Michael",547179,R,SL,125,86,2640,4.9,0.208251652,0.205657988,99.39583989,58.54211796,Slider,21,165,240,40.85372194,40.85372194,-75,2,45,4,0,1,15
2024,"Molina, Anthony",683627,R,SL,59,87.9,2042,6.8,0.34828207,0.574242444,180.737684,145.1714921,Slider,57,720,75,35.56619192,35.56619192,-75,12,0,1,15,1,15
2024,"Steele, Justin",657006,L,SL,109,83.2,2709,14.3,0.599028835,0.497617421,306.5611852,278.8361989,Slider,50,465,525,27.72498638,27.72498638,-60,7,45,8,45,1,0
2024,"Meyer, Max",676974,R,SL,124,88.8,2617,3.3,0.140925552,0.146645312,37.07269754,34.11738922,Slider,15,285,285,2.955308322,2.955308322,0,4,45,4,45,0,0
2024,"Kelly, Michael",547184,R,SL,54,88.3,2672,8,0.332882517,0.310697778,133.3989395,96.89555703,Slider,31,90,165,36.50338248,36.50338248,-75,1,30,2,45,1,15
2024,"Heaney, Andrew",571760,L,SL,191,81.5,2538,4.7,0.203992127,0.187498057,285.5145387,304.2614034,Slider,19,510,465,-18.74686474,18.74686474,45,8,30,7,45,0,45
2024,"Foley, Jason",671345,R,SL,72,88.5,2230,3.3,0.148736694,0.217767129,126.4385557,90.70761701,Slider,22,105,180,35.73093873,35.73093873,-75,1,45,3,0,1,15
2024,"Sims, Lucas",608371,R,SL,136,83.7,3109,18.3,0.71576737,0.510724287,73.13646442,102.498755,Slider,51,210,150,-29.36229054,29.36229054,60,3,30,2,30,1,0
2024,"Tonkin, Michael",543859,R,SL,140,83,2295,5.9,0.259096074,0.326892428,63.41900202,33.19813569,Slider,33,240,300,30.22086633,30.22086633,-60,4,0,5,0,1,0
2024,"Crochet, Garrett",676979,L,SL,146,84,2435,15.8,0.676600308,0.514232833,298.0337395,277.4942334,Slider,51,480,525,20.53950603,20.53950603,-45,8,0,8,45,0,45
2024,"De Los Santos, Enyel",660853,R,SL,142,86.7,2234,5.9,0.273308927,0.299976023,196.327788,162.8732019,Slider,30,690,750,33.45458614,33.45458614,-60,11,30,12,30,1,0
2024,"Gilbert, Logan",669302,R,SL,268,87.6,1909,3.1,0.149492681,0.174379431,95.6321721,43.9913198,Slider,17,165,270,51.6408523,51.6408523,-105,2,45,4,30,1,45
2024,"Jackson, Jay",543351,R,SL,217,85,2231,7,0.317397954,0.239593789,143.8603509,144.8129172,Slider,24,75,75,-0.952566328,0.952566328,0,1,15,1,15,0,0
2024,"Hamilton, Ian",641656,R,SL,202,88.3,1556,3.4,0.185268887,0.287572055,202.5222679,159.1672528,Slider,29,675,765,43.3550151,43.3550151,-90,11,15,12,45,1,30
2024,"Cisnero, José",542585,R,SL,82,84.9,2458,5.5,0.231613928,0.288771363,87.30590056,78.61543762,Slider,29,180,210,8.690462942,8.690462942,-30,3,0,3,30,0,30
2024,"Knack, Landon",689017,R,SL,78,84.4,2613,5.6,0.240631871,0.304661945,113.3885251,115.2964007,Slider,30,135,135,-1.907875566,1.907875566,0,2,15,2,15,0,0
2024,"Rodriguez, Grayson",680570,R,SL,98,87,2481,6.4,0.274866244,0.36754363,128.6060539,100.3309,Slider,37,105,165,28.27515399,28.27515399,-60,1,45,2,45,1,0
2024,"Wacha, Michael",608379,R,SL,61,84.8,2081,3.6,0.168512624,0.178109439,142.5671981,123.7824711,Slider,18,75,105,18.78472694,18.78472694,-30,1,15,1,45,0,30
2024,"Woods Richardson, Simeon",680573,R,SL,154,87.1,2320,10.2,0.463785968,0.603226057,165.6037544,136.9172931,Slider,60,750,90,28.68646136,28.68646136,-60,12,30,1,30,1,0
2024,"Smith, Will",519293,L,SL,96,80.3,2448,8,0.342111839,0.2742438,301.1314557,288.0915908,Slider,27,480,510,13.03986486,13.03986486,-30,8,0,8,30,0,30
2024,"Thornton, Trent",663423,R,SL,86,89.9,2817,6.4,0.269447651,0.27280633,162.9813694,130.45341,Slider,27,750,105,32.52795938,32.52795938,-75,12,30,1,45,1,15
2024,"Olson, Reese",681857,R,SL,206,85,2821,7.5,0.309413205,0.325087577,90.12106057,62.10112267,Slider,33,180,240,28.0199379,28.0199379,-60,3,0,4,0,1,0
2024,"Stanek, Ryne",592773,R,SL,61,88.3,2478,5.1,0.225291403,0.279650437,67.08209138,49.34320654,Slider,28,225,255,17.73888485,17.73888485,-30,3,45,4,15,0,30
2024,"Chapman, Aroldis",547973,L,SL,102,85.9,2245,12.4,0.556869453,0.404869438,274.6690346,246.2191763,Slider,40,525,585,28.44985823,28.44985823,-60,8,45,9,45,1,0
2024,"Miller, Erik",669062,L,SL,69,82.1,2646,14.7,0.598464346,0.413581525,313.2120376,291.5233502,Slider,41,450,495,21.68868733,21.68868733,-45,7,30,8,15,0,45
2024,"Ober, Bailey",641927,R,SL,86,79.9,2018,13,0.597198068,0.495305228,57.62546209,76.29178007,Slider,50,240,210,-18.66631799,18.66631799,30,4,0,3,30,0,30
2024,"Rainey, Tanner",663432,R,SL,108,85.9,2262,4.6,0.204535632,0.235305955,164.7324108,118.3465264,Slider,24,750,120,46.3858844,46.3858844,-90,12,30,2,0,1,30
2024,"Herrin, Tim",682120,L,SL,74,87.5,2313,3,0.133281608,0.148850397,223.2929448,210.5283941,Slider,15,630,660,12.76455066,12.76455066,-30,10,30,11,0,0,30
2024,"Lugo, Seth",607625,R,SL,109,85.9,2702,7.3,0.309026918,0.311793962,121.9115295,118.2748921,Slider,31,120,120,3.636637397,3.636637397,0,2,0,2,0,0,0
2024,"Leasure, Jordan",673929,R,SL,90,87.9,2395,7.5,0.335171829,0.369597627,140.1687335,109.3662924,Slider,37,75,135,30.80244112,30.80244112,-60,1,15,2,15,1,0
