year,name,player_id,team_name,team_name_abbrev,pitch_hand,avg_speed,pitches_thrown,total_pitches,pitches_per_game,pitch_per,pitch_type,pitch_name,pitcher_break_z,league_break_z,diff_z,rise,pitcher_break_x,league_break_x,diff_x,tail,percent_rank_diff_z,percent_rank_diff_x
2023,"Megill, Tylor",656731,Mets,NYM,R,94.9,1245,2235,13.7962963,0.55704698,FF,4-Seam Fastball,15.7,-14.1,-1.6,-11,7.8,-6.9,0.9,13,0.223039216,0.588235294
2023,"Montgomery, Jordan",656756,Rangers,TEX,L,93.3,1240,2920,18.02469136,0.424657534,SI,Sinker,20.9,-20.9,0,0,15.4,-14.5,1,7,0.545787546,0.677655678
2023,"Bassitt, Chris",605135,Blue Jays,TOR,R,91.9,1234,3139,19.37654321,0.393118828,SI,Sinker,23.8,-24.2,-0.3,-1,15.9,-15,0.8,6,0.472527473,0.63003663
2023,"Ashcraft, Graham",668933,Reds,CIN,R,95.8,1227,2324,14.34567901,0.527969019,FC,Cutter,22.8,-21.8,-1,-4,2.1,1.7,0.3,19,0.37654321,0.537037037
2023,"Morton, Charlie",450203,Braves,ATL,R,82.3,1227,2842,17.54320988,0.431738213,CU,Curveball,48.3,-47.4,0.9,2,13.6,9.5,4.1,43,0.54954955,0.86036036
2023,"Miller, Bryce",682243,Mariners,SEA,R,95.1,1224,2095,12.93209877,0.58424821,FF,4-Seam Fastball,11.8,-14.7,2.9,20,3.5,-7.9,-4.4,-56,0.987745098,0.06372549
2023,"Corbin, Patrick",571578,Nationals,WSH,L,92.1,1213,2922,18.03703704,0.415126626,SI,Sinker,21.9,-22.4,-0.5,-2,14.6,-14.7,-0.2,-1,0.428571429,0.366300366
2023,"Gilbert, Logan",669302,Mariners,SEA,R,95.7,1206,2922,18.03703704,0.412731006,FF,4-Seam Fastball,12.8,-13.3,0.5,4,6.1,-6.3,-0.1,-2,0.629901961,0.450980392
2023,"Pivetta, Nick",601713,Red Sox,BOS,R,94.6,1204,2383,14.70987654,0.505245489,FF,4-Seam Fastball,10.7,-13.4,2.8,21,4,-5.5,-1.4,-26,0.985294118,0.284313725
2023,"Smyly, Drew",592767,Cubs,CHC,L,78.6,1186,2401,14.82098765,0.49396085,CU,Curveball,46.3,-54.5,-8.2,-15,3.2,5.6,-8.7,-157,0.04954955,0.004504505
2023,"Gausman, Kevin",592332,Blue Jays,TOR,R,86.3,1175,3069,18.94444444,0.382860867,FS,Split-Finger,32.2,-33,-0.8,-3,16.3,-12,4.3,36,0.367346939,1
2023,"Oviedo, Johan",670912,Pirates,PIT,R,95.8,1167,2980,18.39506173,0.391610738,FF,4-Seam Fastball,19.5,-14.4,-5.1,-36,9.8,-7.9,1.9,24,0.014705882,0.740196078
2023,"Manaea, Sean",640455,Giants,SF,L,93.6,1152,2052,12.66666667,0.561403509,FF,4-Seam Fastball,20.6,-15.6,-4.9,-32,15,-7.5,7.5,99,0.019607843,0.992647059
2023,"Scherzer, Max",453286,Rangers,TEX,R,93.7,1141,2465,15.21604938,0.462880325,FF,4-Seam Fastball,15.5,-15.7,0.3,2,10.8,-8.1,2.8,34,0.602941176,0.81372549
2023,"Williams, Trevor",592866,Nationals,WSH,R,89.7,1131,2622,16.18518519,0.431350114,FF,4-Seam Fastball,22.6,-19.8,-2.8,-14,6.4,-8.4,-2.1,-24,0.110294118,0.208333333
2023,"Greene, Hunter",668881,Reds,CIN,R,98.3,1128,2089,12.89506173,0.539971278,FF,4-Seam Fastball,13,-12.7,-0.3,-3,11.6,-8.4,3.3,39,0.426470588,0.860294118
2023,"Detmers, Reid",672282,Angels,LAA,L,94.3,1123,2599,16.04320988,0.432089265,FF,4-Seam Fastball,15.1,-14.8,-0.3,-2,11,-7.5,3.5,47,0.426470588,0.882352941
2023,"Kirby, George",669923,Mariners,SEA,R,96.1,1112,2825,17.4382716,0.393628319,FF,4-Seam Fastball,14.4,-13.8,-0.5,-4,8.3,-7.7,0.6,8,0.37745098,0.546568627
2023,"Singer, Brady",663903,Royals,KC,R,84,1098,2612,16.12345679,0.420367534,SL,Slider,37.6,-37.4,0.2,0,3.4,5.8,-2.4,-41,0.544871795,0.243589744
2023,"Flaherty, Jack",656427,Orioles,BAL,R,93.1,1097,2634,16.25925926,0.416476841,FF,4-Seam Fastball,17.9,-16.2,-1.8,-11,2.3,-7.8,-5.6,-71,0.191176471,0.039215686
2023,"Bibee, Tanner",676440,Guardians,CLE,R,94.9,1095,2326,14.35802469,0.470765262,FF,4-Seam Fastball,13.9,-13.8,-0.1,-1,4.5,-6.3,-1.7,-28,0.480392157,0.254901961
2023,"Oviedo, Johan",670912,Pirates,PIT,R,88.2,1094,2980,18.39506173,0.367114094,SL,Slider,31.7,-32.7,-1,-3,5.1,3.9,1.1,29,0.375,0.692307692
2023,"Kremer, Dean",665152,Orioles,BAL,R,94.6,1084,2925,18.05555556,0.370598291,FF,4-Seam Fastball,13.8,-14.8,0.9,6,9.7,-7.5,2.1,28,0.703431373,0.767156863
2023,"Rodriguez, Eduardo",593958,Tigers,DET,L,92.2,1076,2446,15.09876543,0.439901881,FF,4-Seam Fastball,17.5,-16.2,-1.2,-8,5.8,-6.9,-1.1,-16,0.281862745,0.316176471
2023,"Webb, Logan",657277,Giants,SF,R,92.3,1067,3182,19.64197531,0.335323696,SI,Sinker,31.3,-25.3,6,24,16,-15.2,0.8,5,0.981684982,0.63003663
2023,"Elder, Bryce",693821,Braves,ATL,R,89.5,1067,2849,17.58641975,0.374517375,SI,Sinker,25.9,-24.1,1.8,7,13.3,-13.6,-0.3,-2,0.750915751,0.351648352
2023,"Ober, Bailey",641927,Twins,MIN,R,91.3,1057,2327,14.36419753,0.454232918,FF,4-Seam Fastball,16.2,-16.4,0.2,1,7.5,-6.5,1,15,0.571078431,0.612745098
2023,"Strider, Spencer",675911,Braves,ATL,R,85.6,1048,3100,19.13580247,0.338064516,SL,Slider,35.9,-35.7,0.2,1,5.6,4.7,1,21,0.544871795,0.682692308
2023,"López, Pablo",641154,Twins,MIN,R,94.9,1043,3024,18.66666667,0.344907407,FF,4-Seam Fastball,16,-15,-1,-7,5,-7.9,-2.8,-36,0.308823529,0.134803922
2023,"Rodriguez, Grayson",680570,Orioles,BAL,R,97.4,1043,2104,12.98765432,0.495722433,FF,4-Seam Fastball,13.2,-13.1,-0.1,0,11.4,-7.8,3.6,47,0.480392157,0.892156863
2023,"Senga, Kodai",673540,Mets,NYM,R,95.7,1033,2795,17.25308642,0.369588551,FF,4-Seam Fastball,13.4,-14.1,0.6,5,8,-7.5,0.4,6,0.656862745,0.509803922
2023,"Matz, Steven",571927,Cardinals,STL,L,94.1,1023,1866,11.51851852,0.548231511,SI,Sinker,19.3,-22.4,-3,-14,14.6,-15.2,-0.6,-4,0.131868132,0.307692308
2023,"Corbin, Patrick",571578,Nationals,WSH,L,80.5,1021,2922,18.03703704,0.349418207,SL,Slider,42.1,-42.1,0,0,2.6,6.7,-4.1,-61,0.516025641,0.073717949
2023,"Gray, Jon",592351,Rangers,TEX,R,95.7,1014,2393,14.77160494,0.423735896,FF,4-Seam Fastball,16.9,-14.7,-2.2,-15,10,-8.3,1.6,20,0.137254902,0.700980392
2023,"Clevinger, Mike",605182,White Sox,CWS,R,94.3,1006,2100,12.96296296,0.479047619,FF,4-Seam Fastball,13.4,-15,1.6,10,7.3,-7.3,-0.1,-1,0.860294118,0.450980392
2023,"Elder, Bryce",693821,Braves,ATL,R,82.7,1005,2849,17.58641975,0.352755353,SL,Slider,41.6,-39.8,1.8,5,0.1,5.2,-5.3,-102,0.740384615,0.025641026
2023,"Cobb, Alex",502171,Giants,SF,R,94.5,994,2506,15.4691358,0.396648045,SI,Sinker,23.7,-22.3,1.4,6,16,-15.2,0.8,5,0.725274725,0.63003663
2023,"Stroman, Marcus",573186,Cubs,CHC,R,91.4,987,2203,13.59876543,0.44802542,SI,Sinker,29.7,-25.7,4,16,10.9,-15,-4.1,-27,0.93040293,0.051282051
2023,"Weaver, Luke",596133,Yankees,NYY,R,94,982,2258,13.9382716,0.43489814,FF,4-Seam Fastball,15,-15.3,0.3,2,7.5,-8,-0.5,-6,0.602941176,0.399509804
2023,"Nola, Aaron",605400,Phillies,PHI,R,79.4,977,3087,19.05555556,0.3164885,CU,Curveball,54.8,-52,2.8,5,12.5,10.9,1.6,15,0.756756757,0.684684685
2023,"Cobb, Alex",502171,Giants,SF,R,89.5,971,2506,15.4691358,0.387470072,FS,Split-Finger,32.2,-31.7,0.6,2,13.1,-12.2,0.9,8,0.673469388,0.734693878
2023,"Allen, Logan",671106,Guardians,CLE,L,91.4,963,2134,13.17283951,0.45126523,FF,4-Seam Fastball,16.6,-17.6,1,6,4.1,-8.2,-4.2,-51,0.732843137,0.071078431
2023,"Paxton, James",572020,Red Sox,BOS,L,95.2,957,1690,10.43209877,0.566272189,FF,4-Seam Fastball,15.4,-14,-1.5,-10,11.9,-6.9,4.9,71,0.237745098,0.960784314
2023,"Bello, Brayan",678394,Red Sox,BOS,R,95,951,2618,16.16049383,0.363254393,SI,Sinker,27.9,-24.1,3.7,15,18,-15.9,2.2,14,0.908424908,0.915750916
2023,"Abbott, Andrew",671096,Reds,CIN,L,92.7,949,1897,11.70987654,0.500263574,FF,4-Seam Fastball,15.4,-15.9,0.4,3,7.8,-6.9,0.9,13,0.612745098,0.588235294
2023,"France, J.P.",641585,Astros,HOU,R,93,949,2202,13.59259259,0.430971844,FF,4-Seam Fastball,16.1,-15.9,-0.2,-1,1.5,-7.7,-6.2,-81,0.460784314,0.024509804
2023,"Gomber, Austin",596295,Rockies,COL,L,90.6,949,2160,13.33333333,0.439351852,FF,4-Seam Fastball,16.1,-15.9,-0.1,-1,7.1,-5.1,2,38,0.480392157,0.74754902
2023,"Pérez, Martín",527048,Rangers,TEX,L,91.6,948,2223,13.72222222,0.426450742,SI,Sinker,22.9,-24.5,-1.6,-6,16.4,-14.9,1.5,10,0.271062271,0.769230769
2023,"Walker, Taijuan",592836,Phillies,PHI,R,87.9,942,2837,17.51234568,0.332040888,FS,Split-Finger,33,-32.4,0.6,2,11.9,-11,0.9,8,0.673469388,0.734693878
2023,"Smyly, Drew",592767,Cubs,CHC,L,91.9,932,2401,14.82098765,0.388171595,SI,Sinker,16,-21.2,-5.2,-24,8.2,-13.4,-5.2,-39,0.021978022,0.025641026
2023,"Berríos, José",621244,Blue Jays,TOR,R,93.8,925,2937,18.12962963,0.314947225,SI,Sinker,19.2,-22.3,-3.1,-14,15.6,-15.1,0.6,4,0.128205128,0.564102564
2023,"Hill, Rich",448179,Padres,SD,L,71.9,913,2531,15.62345679,0.360726985,CU,Curveball,66.4,-65.2,1.2,2,16.8,13.7,3.1,22,0.608108108,0.806306306
2023,"Nola, Aaron",605400,Phillies,PHI,R,92.7,910,3087,19.05555556,0.29478458,FF,4-Seam Fastball,16.8,-16.9,0.1,1,12.2,-8.3,3.9,46,0.544117647,0.911764706
2023,"Anderson, Tyler",542881,Angels,LAA,L,90.1,909,2431,15.00617284,0.373920197,FF,4-Seam Fastball,15.1,-16.9,1.8,11,4.9,-5.4,-0.5,-9,0.884803922,0.399509804
2023,"Giolito, Lucas",608337,Guardians,CLE,R,80.9,902,3190,19.69135802,0.282758621,CH,Changeup,30.7,-32.7,-2.1,-6,12.8,-13.3,-0.5,-4,0.248175182,0.324817518
2023,"Morton, Charlie",450203,Braves,ATL,R,94.9,902,2842,17.54320988,0.317382125,FF,4-Seam Fastball,19.5,-15.3,-4.2,-28,13.3,-8.6,4.7,55,0.041666667,0.953431373
2023,"Giolito, Lucas",608337,Guardians,CLE,R,84,901,3190,19.69135802,0.282445141,SL,Slider,38.3,-37.9,0.4,1,1.6,5.1,-3.5,-68,0.570512821,0.131410256
2023,"Dunning, Dane",641540,Rangers,TEX,R,91,893,2696,16.64197531,0.331231454,SI,Sinker,25.4,-25.2,0.2,1,14.1,-15,-0.9,-6,0.56043956,0.282051282
2023,"Steele, Justin",657006,Cubs,CHC,L,83.2,887,2678,16.5308642,0.331217326,SL,Slider,39.9,-38.8,1.1,3,14,6.2,7.9,128,0.653846154,0.974358974
2023,"Kershaw, Clayton",477132,Dodgers,LAD,L,86.5,878,2026,12.50617284,0.433366239,SL,Slider,29.8,-34.7,-4.9,-14,5.4,4.4,0.9,21,0.032051282,0.663461538
2023,"Houser, Adrian",605288,Brewers,MIL,R,92.1,875,1856,11.45679012,0.471443966,SI,Sinker,25.3,-23.4,1.9,8,16.8,-15,1.8,12,0.769230769,0.827838828
2023,"Bickford, Phil",641360,Mets,NYM,R,93.7,873,1229,7.586419753,0.710333605,FF,4-Seam Fastball,15.4,-16.4,1.1,6,5.7,-8.8,-3,-35,0.774509804,0.12254902
2023,"Berríos, José",621244,Blue Jays,TOR,R,82.6,869,2937,18.12962963,0.29588015,SV,Slurve,45.4,-45,0.4,1,15.6,14.6,0.9,6,0.666666667,1
2023,"Hendricks, Kyle",543294,Cubs,CHC,R,80.7,867,2108,13.01234568,0.411290323,CH,Changeup,33.5,-34.4,-0.9,-3,10.4,-12.6,-2.2,-17,0.375912409,0.135036496
2023,"Ashcraft, Graham",668933,Reds,CIN,R,88.3,866,2324,14.34567901,0.372633391,SL,Slider,35.5,-32.9,2.5,8,13.2,4,9.3,234,0.788461538,0.996794872
2023,"Junis, Jakob",596001,Giants,SF,R,84.2,864,1389,8.574074074,0.622030238,SL,Slider,38.3,-37.5,0.8,2,13.1,6,7.1,118,0.628205128,0.958333333
2023,"Hill, Rich",448179,Padres,SD,L,88.4,864,2531,15.62345679,0.341367049,FF,4-Seam Fastball,17.6,-18.9,1.3,7,6.3,-6.6,-0.3,-4,0.823529412,0.426470588
2023,"Luzardo, Jesús",666200,Marlins,MIA,L,85.1,863,2988,18.44444444,0.288821954,SL,Slider,36.3,-36.5,-0.2,-1,0.1,5.6,-5.8,-103,0.480769231,0.016025641
2023,"Gilbert, Logan",669302,Mariners,SEA,R,88.7,863,2922,18.03703704,0.295345654,SL,Slider,34.4,-32.7,1.8,5,0.8,3.3,-2.5,-75,0.740384615,0.221153846
2023,"Lyles, Jordan",543475,Royals,KC,R,91.2,860,2817,17.38888889,0.305289315,FF,4-Seam Fastball,16.5,-16.6,0.1,0,6.1,-6.3,-0.2,-3,0.544117647,0.43872549
2023,"Taillon, Jameson",592791,Cubs,CHC,R,93.7,860,2533,15.63580247,0.339518358,FF,4-Seam Fastball,14.2,-15,0.7,5,7.6,-6.7,0.9,14,0.678921569,0.588235294
2023,"Javier, Cristian",664299,Astros,HOU,R,79.5,858,2882,17.79012346,0.297709924,SL,Slider,41.1,-42.9,-1.7,-4,14.1,11.4,2.7,23,0.282051282,0.826923077
2023,"Seabold, Connor",657756,Rockies,COL,R,92.6,850,1562,9.641975309,0.544174136,FF,4-Seam Fastball,18.6,-16.1,-2.5,-16,9.4,-7.5,1.8,24,0.12254902,0.718137255
2023,"Kelly, Merrill",518876,D-backs,AZ,R,92.2,842,2803,17.30246914,0.300392437,FF,4-Seam Fastball,17.4,-16.6,-0.8,-5,7.4,-7.9,-0.6,-7,0.335784314,0.384803922
2023,"Greene, Hunter",668881,Reds,CIN,R,87.3,839,2089,12.89506173,0.401627573,SL,Slider,33.1,-33.9,-0.8,-2,4.5,4.4,0.1,3,0.403846154,0.576923077
2023,"Urías, Julio",628711,Dodgers,LAD,L,92.7,833,1849,11.41358025,0.450513791,FF,4-Seam Fastball,14.9,-15.6,0.7,5,3.9,-7.3,-3.5,-47,0.678921569,0.105392157
2023,"Eovaldi, Nathan",543135,Rangers,TEX,R,95.1,831,2232,13.77777778,0.372311828,FF,4-Seam Fastball,16.7,-15.1,-1.6,-10,12.5,-8.2,4.2,52,0.223039216,0.931372549
2023,"Mikolas, Miles",571945,Cardinals,STL,R,93.3,831,3197,19.7345679,0.259931185,FF,4-Seam Fastball,16.3,-14.6,-1.7,-11,5.6,-5.9,-0.2,-4,0.203431373,0.43872549
2023,"Miley, Wade",489119,Brewers,MIL,L,87.1,829,1873,11.5617284,0.442605446,FC,Cutter,28.1,-29,0.9,3,3,3.1,-0.1,-4,0.654320988,0.444444444
2023,"Bird, Jake",656234,Rockies,COL,R,94.4,827,1391,8.586419753,0.594536305,SI,Sinker,29.5,-25,4.4,18,8.8,-15.3,-6.6,-43,0.941391941,0.014652015
2023,"Bradish, Kyle",680694,Orioles,BAL,R,88.1,824,2639,16.29012346,0.312239485,SL,Slider,35.4,-32.9,2.5,7,12.5,4.1,8.4,205,0.788461538,0.983974359
2023,"Eflin, Zach",621107,Rays,TB,R,92.2,823,2577,15.90740741,0.319363601,SI,Sinker,26.4,-23.2,3.2,14,16.7,-14.9,1.8,12,0.882783883,0.827838828
2023,"Crawford, Kutter",676710,Red Sox,BOS,R,93.6,823,2099,12.95679012,0.392091472,FF,4-Seam Fastball,12.4,-15.2,2.7,18,9.4,-7,2.4,34,0.975490196,0.786764706
2023,"Anderson, Tyler",542881,Angels,LAA,L,80,822,2431,15.00617284,0.338132456,CH,Changeup,31.3,-33.5,-2.3,-7,13,-12.8,0.2,1,0.215328467,0.48540146
2023,"Lorenzen, Michael",547179,Phillies,PHI,R,94.3,821,2367,14.61111111,0.346852556,FF,4-Seam Fastball,14.8,-15.1,0.4,2,11.8,-8.2,3.7,45,0.612745098,0.901960784
2023,"Bradley, Taj",671737,Rays,TB,R,96.1,817,1821,11.24074074,0.448654585,FF,4-Seam Fastball,10.9,-13.6,2.7,20,4.9,-7.3,-2.5,-34,0.975490196,0.169117647
2023,"Keller, Mitch",656605,Pirates,PIT,R,95.2,814,3119,19.25308642,0.260981084,FF,4-Seam Fastball,15.2,-14.4,-0.8,-6,9,-7.5,1.5,20,0.335784314,0.68872549
2023,"Medina, Luis",665622,Athletics,OAK,R,96.1,808,1945,12.00617284,0.415424165,FF,4-Seam Fastball,13.3,-13.5,0.2,1,5.9,-7.1,-1.2,-17,0.571078431,0.308823529
2023,"Glasnow, Tyler",607192,Rays,TB,R,96.4,806,1894,11.69135802,0.425554382,FF,4-Seam Fastball,12.7,-13.3,0.5,4,1,-6.8,-5.8,-85,0.629901961,0.036764706
2023,"Wentz, Joey",666214,Tigers,DET,L,93.4,803,1930,11.91358025,0.416062176,FF,4-Seam Fastball,16.1,-15.1,-1,-7,12.1,-6.6,5.6,85,0.308823529,0.980392157
2023,"Detmers, Reid",672282,Angels,LAA,L,88.9,802,2599,16.04320988,0.308580223,SL,Slider,31.8,-32.3,-0.5,-2,1.3,3.9,-2.6,-67,0.448717949,0.217948718
2023,"Gray, Jon",592351,Rangers,TEX,R,88,801,2393,14.77160494,0.334726285,SL,Slider,32.1,-33,-0.8,-3,3.5,4.1,-0.7,-16,0.403846154,0.451923077
2023,"Fujinami, Shintaro",660261,Orioles,BAL,R,98.4,794,1404,8.666666667,0.565527066,FF,4-Seam Fastball,14.3,-13.1,-1.1,-9,11.1,-8.7,2.4,28,0.296568627,0.786764706
2023,"Gibson, Kyle",502043,Orioles,BAL,R,91.9,793,3038,18.75308642,0.261026991,SI,Sinker,24.2,-22.6,1.6,7,14.3,-14.8,-0.4,-3,0.732600733,0.336996337
2023,"Alcantara, Sandy",645261,Marlins,MIA,R,97.6,790,2721,16.7962963,0.290334436,SI,Sinker,21.4,-20.1,1.3,6,17.6,-15.5,2.1,14,0.706959707,0.893772894
2023,"Garrett, Braxton",666129,Marlins,MIA,L,90.5,786,2479,15.30246914,0.317063332,SI,Sinker,26.2,-24,2.1,9,15.7,-14.7,1.1,7,0.787545788,0.692307692
2023,"Tonkin, Michael",543859,Braves,ATL,R,93.5,785,1283,7.919753086,0.611847233,SI,Sinker,20.5,-23.9,-3.5,-15,12.4,-15.4,-3,-20,0.113553114,0.073260073
2023,"Mikolas, Miles",571945,Cardinals,STL,R,92.7,779,3197,19.7345679,0.243665937,SI,Sinker,20.7,-21.4,-0.8,-4,14.2,-14.4,-0.2,-2,0.384615385,0.366300366
2023,"Mikolas, Miles",571945,Cardinals,STL,R,86.4,776,3197,19.7345679,0.242727557,SL,Slider,33.4,-34.8,-1.3,-4,3.7,4.3,-0.6,-14,0.320512821,0.467948718
2023,"López, Reynaldo",625643,Guardians,CLE,R,98.2,775,1205,7.438271605,0.643153527,FF,4-Seam Fastball,11.9,-12.9,1,8,8.9,-8.4,0.5,5,0.732843137,0.522058824
2023,"Finnegan, Kyle",640448,Nationals,WSH,R,97.3,773,1106,6.827160494,0.698915009,FF,4-Seam Fastball,13.9,-13.4,-0.5,-4,11.1,-8.1,2.9,36,0.37745098,0.830882353
2023,"Williams, Gavin",668909,Guardians,CLE,R,95.7,766,1386,8.555555556,0.552669553,FF,4-Seam Fastball,13.9,-14.1,0.1,1,9.8,-7.2,2.6,36,0.544117647,0.799019608
