year,name,player_id,team_name,team_name_abbrev,pitch_hand,avg_speed,pitches_thrown,total_pitches,pitches_per_game,pitch_per,pitch_type,pitch_name,pitcher_break_z,league_break_z,diff_z,rise,pitcher_break_x,league_break_x,diff_x,tail,percent_rank_diff_z,percent_rank_diff_x
2024,"Kelly, Merrill",518876,D-backs,AZ,R,92.3,79,361,7.520833333,0.218836565,FF,4-Seam Fastball,17.4,-16.4,-1,-6,8.2,-8.2,0,0,0.298429319,0.45026178
2024,"Kelly, Merrill",518876,D-backs,AZ,R,89,70,361,7.520833333,0.193905817,CH,Changeup,33.4,-30.4,3,10,14.7,-15.2,-0.5,-3,0.832618026,0.343347639
2024,"Kelly, Merrill",518876,D-backs,AZ,R,85.6,61,361,7.520833333,0.168975069,SL,Slider,36.1,-35.8,0.3,1,2.9,5.5,-2.6,-48,0.514851485,0.214521452
2024,"Kimbrel, Craig",518886,Orioles,BAL,R,94.1,221,320,7.111111111,0.690625,FF,4-Seam Fastball,15.6,-17.6,2,11,10.4,-11.2,-0.8,-8,0.905759162,0.361256545
2024,"Kimbrel, Craig",518886,Orioles,BAL,R,84.8,99,320,7.111111111,0.309375,CU,Curveball,45.6,-45.7,-0.1,0,12.1,10.7,1.4,13,0.421052632,0.652631579
2024,"McFarland, T.J.",519008,Athletics,OAK,L,87.6,138,267,5.448979592,0.516853933,SI,Sinker,39.5,-33.1,6.4,19,16.8,-15,1.8,12,0.988505747,0.831417625
2024,"McFarland, T.J.",519008,Athletics,OAK,L,78.1,100,267,5.448979592,0.374531835,ST,Sweeper,47,-44.4,2.7,6,18.5,15.9,2.6,17,0.756521739,0.834782609
2024,"Moore, Matt",519043,Angels,LAA,L,93.1,164,308,6.416666667,0.532467532,FF,4-Seam Fastball,14,-14.9,0.8,6,10.8,-6.8,4.1,60,0.685863874,0.92408377
2024,"Moore, Matt",519043,Angels,LAA,L,83.4,80,308,6.416666667,0.25974026,CH,Changeup,30.9,-31.2,-0.3,-1,17.2,-13.7,3.5,25,0.463519313,0.957081545
2024,"Moore, Matt",519043,Angels,LAA,L,82.4,64,308,6.416666667,0.207792208,CU,Curveball,51.9,-50,1.9,4,5.4,7.3,-2,-27,0.578947368,0.284210526
2024,"Pressly, Ryan",519151,Astros,HOU,R,89.6,101,326,6.791666667,0.309815951,SL,Slider,31.4,-31.4,-0.1,0,5.1,3.8,1.3,33,0.445544554,0.683168317
2024,"Pressly, Ryan",519151,Astros,HOU,R,82.2,90,326,6.791666667,0.27607362,CU,Curveball,52.8,-50,2.8,6,15.3,8.8,6.5,73,0.657894737,0.984210526
2024,"Pressly, Ryan",519151,Astros,HOU,R,93.8,84,326,6.791666667,0.257668712,FF,4-Seam Fastball,14.5,-14.8,0.3,2,0.1,-7.4,-7.4,-101,0.565445026,0.010471204
2024,"Sale, Chris",519242,Braves,ATL,L,78.2,351,863,19.61363636,0.406720742,SL,Slider,49.9,-46.2,3.7,8,10.8,10.5,0.2,2,0.881188119,0.561056106
2024,"Sale, Chris",519242,Braves,ATL,L,94.6,329,863,19.61363636,0.381228273,FF,4-Seam Fastball,20.2,-15.5,-4.6,-30,14.5,-8.8,5.8,66,0.02617801,0.986910995
2024,"Sale, Chris",519242,Braves,ATL,L,86.7,113,863,19.61363636,0.130938586,CH,Changeup,35.9,-34.3,1.7,5,16,-15.1,0.9,6,0.738197425,0.553648069
2024,"Sale, Chris",519242,Braves,ATL,L,93.7,69,863,19.61363636,0.07995365,SI,Sinker,28.4,-24.7,3.7,15,17.8,-15.9,1.8,12,0.885057471,0.831417625
2024,"Smith, Will",519293,Royals,KC,L,80.5,94,238,4.857142857,0.394957983,SL,Slider,42.3,-42.8,-0.5,-1,6.3,6.8,-0.4,-7,0.386138614,0.465346535
2024,"Smith, Will",519293,Royals,KC,L,91,86,238,4.857142857,0.361344538,FF,4-Seam Fastball,15.8,-15.5,-0.3,-2,7.2,-6,1.2,20,0.437172775,0.633507853
2024,"Strickland, Hunter",519326,Angels,LAA,R,84.6,180,301,6.270833333,0.598006645,SL,Slider,33.6,-36.8,-3.3,-9,11.1,6.1,5,83,0.138613861,0.917491749
2024,"Strickland, Hunter",519326,Angels,LAA,R,93.9,84,301,6.270833333,0.279069767,FF,4-Seam Fastball,16.5,-14.9,-1.5,-10,8.4,-7.7,0.7,9,0.235602094,0.554973822
2024,"Kelly, Joe",523260,Dodgers,LAD,R,98,71,224,4.48,0.316964286,SI,Sinker,22,-23.5,-1.5,-6,17.1,-16.5,0.7,4,0.348659004,0.540229885
2024,"Kelly, Joe",523260,Dodgers,LAD,R,90.4,60,224,4.48,0.267857143,SL,Slider,34.1,-31.1,3,10,8.8,4,4.7,117,0.834983498,0.904290429
2024,"Kelly, Joe",523260,Dodgers,LAD,R,98.6,55,224,4.48,0.245535714,FF,4-Seam Fastball,15.2,-14.1,-1.1,-7,11.4,-8.9,2.5,28,0.293193717,0.80104712
2024,"Pérez, Martín",527048,Pirates,PIT,L,91,284,776,16.16666667,0.365979381,SI,Sinker,21.9,-24.7,-2.8,-11,16.1,-15.1,1,7,0.210727969,0.624521073
2024,"Pérez, Martín",527048,Pirates,PIT,L,88.6,213,776,16.16666667,0.274484536,FC,Cutter,21.1,-27.1,6,22,1.8,2.6,-4.5,-170,0.993710692,0.031446541
2024,"Pérez, Martín",527048,Pirates,PIT,L,83.1,169,776,16.16666667,0.217783505,CH,Changeup,30.4,-32.4,-2,-6,14.6,-13.9,0.7,5,0.283261803,0.497854077
2024,"Pérez, Martín",527048,Pirates,PIT,L,78.4,83,776,16.16666667,0.106958763,CU,Curveball,47.5,-55.1,-7.6,-14,2.6,9.9,-7.3,-74,0.021052632,0.026315789
2024,"Ramírez, Erasmo",541640,Rays,TB,R,89,89,220,4.489795918,0.404545455,FC,Cutter,21.1,-26.8,5.6,21,0.5,2.5,-2,-81,0.981132075,0.188679245
2024,"Ramírez, Erasmo",541640,Rays,TB,R,91.1,86,220,4.489795918,0.390909091,SI,Sinker,25.1,-25.4,-0.4,-2,16.3,-15.4,0.9,6,0.498084291,0.605363985
2024,"Cisnero, José",542585,Angels,LAA,R,95.3,94,282,5.875,0.333333333,FF,4-Seam Fastball,14.3,-15.2,0.9,6,11.6,-8.7,2.9,33,0.706806283,0.845549738
2024,"Cisnero, José",542585,Angels,LAA,R,84.9,82,282,5.875,0.290780142,SL,Slider,37.6,-36.5,1.1,3,4.2,6.3,-2,-32,0.627062706,0.287128713
2024,"Cisnero, José",542585,Angels,LAA,R,95.3,69,282,5.875,0.244680851,SI,Sinker,21.5,-23.7,-2.2,-9,18.3,-15.9,2.4,15,0.249042146,0.946360153
2024,"Anderson, Tyler",542881,Angels,LAA,L,89.1,348,841,17.52083333,0.413793103,FF,4-Seam Fastball,14.9,-16.8,1.8,11,4.2,-5.6,-1.3,-24,0.866492147,0.30104712
2024,"Anderson, Tyler",542881,Angels,LAA,L,78.7,296,841,17.52083333,0.35196195,CH,Changeup,32.1,-37.1,-5,-13,12.8,-12.9,-0.1,-1,0.081545064,0.399141631
2024,"Anderson, Tyler",542881,Angels,LAA,L,83.6,154,841,17.52083333,0.183115339,FC,Cutter,28,-31.8,3.8,12,3.5,4.1,-0.6,-15,0.937106918,0.41509434
2024,"Armstrong, Shawn",542888,Rays,TB,R,93,119,355,7.244897959,0.335211268,FF,4-Seam Fastball,15.1,-15.6,0.5,3,6.7,-7.4,-0.7,-10,0.615183246,0.371727749
2024,"Armstrong, Shawn",542888,Rays,TB,R,93.4,113,355,7.244897959,0.318309859,SI,Sinker,20.7,-22.6,-1.8,-8,15.7,-15.1,0.7,4,0.295019157,0.540229885
2024,"Armstrong, Shawn",542888,Rays,TB,R,89.9,106,355,7.244897959,0.298591549,FC,Cutter,24.9,-25.8,0.8,3,5.5,2.8,2.7,97,0.704402516,0.924528302
2024,"Coulombe, Danny",543056,Orioles,BAL,L,85.9,104,264,5.866666667,0.393939394,FC,Cutter,35.2,-29.6,-5.6,-19,3.9,3.9,0,-1,0.012578616,0.540880503
2024,"Coulombe, Danny",543056,Orioles,BAL,L,82,79,264,5.866666667,0.299242424,ST,Sweeper,48.8,-42.4,6.5,15,12.6,14.6,-2,-14,0.956521739,0.139130435
2024,"Eovaldi, Nathan",543135,Rangers,TEX,R,95.3,232,667,13.89583333,0.347826087,FF,4-Seam Fastball,18.1,-14.9,-3.2,-22,14.3,-8.3,5.9,71,0.065445026,0.989528796
2024,"Eovaldi, Nathan",543135,Rangers,TEX,R,88.7,206,667,13.89583333,0.308845577,FS,Split-Finger,34.1,-32.4,1.7,5,14.6,-11.7,2.9,25,0.803030303,0.878787879
2024,"Eovaldi, Nathan",543135,Rangers,TEX,R,77,114,667,13.89583333,0.170914543,CU,Curveball,54.8,-56.9,-2.1,-4,8.1,10.8,-2.7,-25,0.294736842,0.231578947
2024,"Eovaldi, Nathan",543135,Rangers,TEX,R,91.6,79,667,13.89583333,0.11844078,FC,Cutter,23.5,-23.5,0,0,0.2,1.9,-1.7,-91,0.540880503,0.220125786
2024,"Gray, Sonny",543243,Cardinals,STL,R,92.8,161,680,14.46808511,0.236764706,FF,4-Seam Fastball,17.6,-16.1,-1.4,-9,0.4,-8,-8.4,-105,0.246073298,0.002617801
2024,"Gray, Sonny",543243,Cardinals,STL,R,85.3,128,680,14.46808511,0.188235294,ST,Sweeper,42.6,-35.2,7.3,21,16.1,12.9,3.2,25,0.991304348,0.886956522
2024,"Gray, Sonny",543243,Cardinals,STL,R,80.3,128,680,14.46808511,0.188235294,CU,Curveball,57.7,-52,5.6,11,13.5,10.1,3.4,34,0.894736842,0.810526316
2024,"Gray, Sonny",543243,Cardinals,STL,R,88.3,108,680,14.46808511,0.158823529,FC,Cutter,32.2,-27.4,-4.8,-18,5.2,2.7,2.5,93,0.037735849,0.899371069
2024,"Gray, Sonny",543243,Cardinals,STL,R,93.4,106,680,14.46808511,0.155882353,SI,Sinker,22.2,-23.2,-1,-4,11.9,-15.3,-3.4,-22,0.402298851,0.068965517
2024,"Hendricks, Kyle",543294,Cubs,CHC,R,80.9,251,555,11.5625,0.452252252,CH,Changeup,34.2,-34.9,-0.7,-2,13.1,-14,-0.9,-7,0.442060086,0.270386266
